applicant_id,age,annual_income,loan_amount,credit_score,employment_status,loan_term_months,existing_loans,debt_to_income_ratio,home_ownership,loan_default
APP0001,55,32458.0,80479.0,770.0,Self-employed,36,2,0.749,Rent,1
APP0002,31,143381.0,94344.0,432.0,Salaried,24,3,0.395,Rent,1
APP0003,24,124041.0,29319.0,465.0,Salaried,60,3,0.093,Own,1
APP0004,61,89098.0,29837.0,477.0,Salaried,60,4,0.467,Rent,1
APP0005,63,88148.0,23754.0,397.0,Salaried,36,1,0.133,Rent,1
APP0006,26,157093.0,86918.0,385.0,Self-employed,36,3,0.221,Rent,1
APP0007,25,31923.0,6138.0,491.0,Unemployed,24,1,0.28,Rent,0
APP0008,51,130974.0,88002.0,781.0,Salaried,60,4,0.562,Mortgage,0
APP0009,22,50638.0,74010.0,300.0,Self-employed,60,4,0.179,Rent,1
APP0010,58,33256.0,72568.0,456.0,Self-employed,60,3,0.166,Own,1
APP0011,66,103290.0,103495.0,333.0,Unemployed,36,5,0.081,Mortgage,0
APP0012,58,176051.0,80782.0,609.0,Self-employed,24,3,0.661,Rent,1
APP0013,32,137192.0,110524.0,438.0,Salaried,24,0,0.535,Mortgage,1
APP0014,30,141305.0,115769.0,736.0,Self-employed,24,3,0.078,Mortgage,1
APP0015,55,134232.0,138417.0,622.0,Salaried,24,4,0.07,Mortgage,1
APP0016,24,145343.0,120891.0,731.0,Unemployed,12,0,0.441,Mortgage,1
APP0017,47,101143.0,80067.0,649.0,Salaried,60,0,0.248,Rent,1
APP0018,43,38754.0,76362.0,541.0,Self-employed,12,1,0.468,Own,1
APP0019,58,154040.0,39177.0,774.0,Salaried,24,5,0.354,Rent,1
APP0020,31,90962.0,91941.0,562.0,Salaried,60,3,0.696,Mortgage,1
APP0021,59,,25174.0,823.0,Contract,36,5,0.251,Rent,0
APP0022,55,78069.0,140030.0,848.0,Self-employed,48,5,0.525,Mortgage,0
APP0023,32,47573.0,127532.0,624.0,Salaried,36,3,0.088,Own,1
APP0024,38,168136.0,22361.0,671.0,Unemployed,60,4,0.719,Rent,1
APP0025,24,144614.0,118964.0,440.0,Contract,36,1,0.737,Rent,0
APP0026,43,122306.0,21980.0,748.0,Salaried,36,0,0.567,Rent,0
APP0027,34,83191.0,109578.0,670.0,Self-employed,48,2,0.376,Own,1
APP0028,26,151288.0,17717.0,797.0,Salaried,36,3,0.204,Own,0
APP0029,48,106360.0,75788.0,447.0,Self-employed,36,1,0.619,Mortgage,1
APP0030,49,89833.0,100390.0,733.0,Salaried,36,1,0.565,Rent,0
APP0031,25,90974.0,110678.0,559.0,Salaried,24,0,0.205,Own,1
APP0032,30,54812.0,65698.0,402.0,Unemployed,48,4,0.366,Own,1
APP0033,25,32926.0,138636.0,394.0,Unemployed,36,5,0.374,Rent,1
APP0034,54,107843.0,117277.0,609.0,Contract,24,4,0.628,Own,0
APP0035,37,161839.0,35198.0,476.0,Unemployed,36,2,0.529,Rent,1
APP0036,24,28338.0,102329.0,356.0,Self-employed,60,3,0.5,Mortgage,1
APP0037,30,157044.0,110928.0,535.0,Contract,36,5,0.505,Own,1
APP0038,69,152077.0,53377.0,659.0,Contract,48,3,0.239,Rent,1
APP0039,33,62835.0,112044.0,475.0,Salaried,60,1,0.31,Own,1
APP0040,55,120330.0,135264.0,826.0,Salaried,12,2,0.082,Rent,1
APP0041,44,44767.0,123482.0,729.0,Salaried,48,4,0.601,Mortgage,1
APP0042,30,140810.0,115567.0,582.0,Self-employed,36,2,0.353,Rent,1
APP0043,36,131485.0,97002.0,814.0,Salaried,24,5,0.357,Mortgage,1
APP0044,21,75433.0,44227.0,538.0,Salaried,48,5,0.222,Own,1
APP0045,58,29003.0,120308.0,376.0,Self-employed,60,0,0.197,Rent,1
APP0046,37,175254.0,57808.0,319.0,Salaried,36,4,0.461,Rent,0
APP0047,45,90201.0,82169.0,816.0,Salaried,36,2,0.213,Rent,0
APP0048,28,162686.0,50594.0,828.0,Contract,36,3,0.095,Mortgage,0
APP0049,62,127823.0,50387.0,707.0,Contract,36,1,0.587,Own,0
APP0050,31,144098.0,27853.0,356.0,Salaried,36,2,0.314,Mortgage,1
APP0051,49,141104.0,144389.0,461.0,Salaried,36,1,0.316,Mortgage,0
APP0052,64,49531.0,26428.0,322.0,Salaried,36,0,0.352,Rent,0
APP0053,56,76953.0,17507.0,328.0,Contract,24,4,0.621,Rent,0
APP0054,51,93609.0,140739.0,435.0,Contract,48,0,0.275,Rent,1
APP0055,65,98642.0,85477.0,615.0,Salaried,48,2,0.581,Own,0
APP0056,29,25096.0,68496.0,336.0,Contract,48,1,0.708,Mortgage,1
APP0057,69,106544.0,111936.0,842.0,Salaried,12,0,0.513,Rent,1
APP0058,48,42995.0,60581.0,550.0,Salaried,36,2,0.352,Mortgage,1
APP0059,41,138427.0,23548.0,445.0,Unemployed,36,5,0.573,Rent,1
APP0060,33,128654.0,110805.0,584.0,Salaried,24,5,0.371,Rent,0
APP0061,58,167450.0,30520.0,735.0,Salaried,24,2,0.34,Rent,1
APP0062,69,138652.0,85184.0,472.0,Salaried,36,3,0.418,Rent,1
APP0063,55,77396.0,142615.0,326.0,Self-employed,48,5,0.272,Mortgage,1
APP0064,22,174737.0,140741.0,328.0,Unemployed,36,1,0.123,Own,1
